provider_id,provider_name,provider_city,provider_state,provider_zip_code,ms_drg_definition,total_discharges,average_covered_charges,average_total_payments,average_medicare_payments
330223,Schenectady General Hospital 223,Schenectady,NY,12305,641 - Nutritional & Misc Metabolic Disorders w/o MCC,90,56495.04,13914.26,11431.97
330134,Poughkeepsie General Hospital 134,Poughkeepsie,NY,12601,"282 - Acute Myocardial Infarction, Discharged Alive w/o CC/MCC",48,78057.39,16875.76,14482.78
330062,Troy General Hospital 62,Troy,NY,12180,639 - Diabetes w/o CC/MCC,79,23290.25,6217.79,4896.92
330086,Albany General Hospital 86,Albany,NY,12208,639 - Diabetes w/o CC/MCC,33,15565.78,6041.13,4469.08
330166,Albany General Hospital 166,Albany,NY,12208,292 - Heart Failure & Shock w CC,40,65407.69,13548.92,11724.02
330068,Melville General Hospital 68,Melville,NY,11747,"282 - Acute Myocardial Infarction, Discharged Alive w/o CC/MCC",58,73833.12,16628.85,13873.49
330099,Hicksville General Hospital 99,Hicksville,NY,11801,"394 - Esophagitis, Gastroenteritis & Misc Digest Disorders w/o CC/MCC",70,26274.87,7624.61,6615.4
330278,Huntington General Hospital 278,Huntington,NY,11743,640 - Nutritional & Misc Metabolic Disorders w MCC,89,127207.78,49437.46,42173.95
330177,Riverhead General Hospital 177,Riverhead,NY,11901,690 - Kidney & Urinary Tract Infections w/o MCC,34,33406.31,11207.91,8883.33
330195,Mineola General Hospital 195,Mineola,NY,11501,683 - Renal Failure w CC,54,59284.76,22112.07,19266.58
330026,Elmira General Hospital 26,Elmira,NY,14901,331 - Major Small & Large Bowel Procedures w/o CC/MCC,65,83904.36,16454.7,14878.5
330214,Poughkeepsie General Hospital 214,Poughkeepsie,NY,12601,638 - Diabetes w CC,35,50546.51,12664.04,10599.34
330125,Staten Island General Hospital 125,Staten Island,NY,10314,872 - Septicemia or Severe Sepsis w/o MCC,70,80415.43,17992.05,17632.2
330203,Brooklyn General Hospital 203,Brooklyn,NY,11201,179 - Respiratory Infections & Inflammations w/o CC/MCC,29,23698.74,8049.77,6126.36
330116,Patchogue General Hospital 116,Patchogue,NY,11772,330 - Major Small & Large Bowel Procedures w CC,30,40402.43,12078.11,10270.9
330195,Mineola General Hospital 195,Mineola,NY,11501,377 - Gastrointestinal Hemorrhage w MCC,50,33048.48,12910.93,11281.53
330014,Poughkeepsie General Hospital 14,Poughkeepsie,NY,12601,"407 - Pancreas, Liver & Shunt Procedures w/o CC/MCC",37,18207.61,4353.02,3693.3
330268,Melville General Hospital 268,Melville,NY,11747,"394 - Esophagitis, Gastroenteritis & Misc Digest Disorders w/o CC/MCC",95,21051.11,7302.45,5906.85
330099,Hicksville General Hospital 99,Hicksville,NY,11801,378 - Gastrointestinal Hemorrhage w CC,61,56176.15,16834.59,13565.78
330181,Mount Kisco General Hospital 181,Mount Kisco,NY,10549,377 - Gastrointestinal Hemorrhage w MCC,40,35129.03,10017.0,9459.66
330106,Elmira General Hospital 106,Elmira,NY,14901,379 - Gastrointestinal Hemorrhage w/o CC/MCC,52,63943.27,19255.04,17940.18
330033,Stony Brook General Hospital 33,Stony Brook,NY,11790,871 - Septicemia or Severe Sepsis w MCC,23,104323.23,20990.27,17798.39
330065,Watertown General Hospital 65,Watertown,NY,13601,684 - Renal Failure w/o CC/MCC,87,38711.99,11927.17,9754.11
330254,Poughkeepsie General Hospital 254,Poughkeepsie,NY,12601,470 - Major Joint Replacement w/o MCC,66,42625.24,10984.69,9229.38
330207,Buffalo General Hospital 207,Buffalo,NY,14215,195 - Simple Pneumonia & Pleurisy w CC,81,27600.83,7344.84,6390.87
330109,Jamaica General Hospital 109,Jamaica,NY,11432,872 - Septicemia or Severe Sepsis w/o MCC,34,96883.74,23013.69,17388.43
330135,Middletown General Hospital 135,Middletown,NY,10940,872 - Septicemia or Severe Sepsis w/o MCC,19,92371.19,18755.3,16677.74
330230,Flushing General Hospital 230,Flushing,NY,11354,684 - Renal Failure w/o CC/MCC,46,77481.51,18658.1,15105.5
330055,Middletown General Hospital 55,Middletown,NY,10940,179 - Respiratory Infections & Inflammations w/o CC/MCC,38,19249.62,3626.48,3054.67
330094,Poughkeepsie General Hospital 94,Poughkeepsie,NY,12601,390 - G.I. Obstruction w CC,61,111155.27,34603.6,28383.91
330179,Hicksville General Hospital 179,Hicksville,NY,11801,"394 - Esophagitis, Gastroenteritis & Misc Digest Disorders w/o CC/MCC",47,21981.51,5557.52,4617.13
330058,Garden City General Hospital 58,Garden City,NY,11530,"407 - Pancreas, Liver & Shunt Procedures w/o CC/MCC",121,30346.34,9540.56,7571.58
330095,Middletown General Hospital 95,Middletown,NY,10940,"406 - Pancreas, Liver & Shunt Procedures w CC",68,35368.15,8552.42,8069.94
330030,Flushing General Hospital 30,Flushing,NY,11354,390 - G.I. Obstruction w CC,53,92880.08,17421.1,15101.9
330200,Plainview General Hospital 200,Plainview,NY,11803,389 - G.I. Obstruction w MCC,22,86852.71,31490.16,25848.81
330243,Brooklyn General Hospital 243,Brooklyn,NY,11201,391 - G.I. Obstruction w/o CC/MCC,62,44922.22,11322.16,9598.22
330096,Newburgh General Hospital 96,Newburgh,NY,12550,872 - Septicemia or Severe Sepsis w/o MCC,98,75717.85,17733.66,13301.05
330027,Auburn General Hospital 27,Auburn,NY,13021,638 - Diabetes w CC,1,80347.92,23021.37,18979.98
330020,New Hyde Park General Hospital 20,New Hyde Park,NY,11040,378 - Gastrointestinal Hemorrhage w CC,12,53892.26,12455.9,11632.99
330022,Troy General Hospital 22,Troy,NY,12180,"280 - Acute Myocardial Infarction, Discharged Alive w MCC",92,38958.37,11964.74,10363.37
330154,Great Neck General Hospital 154,Great Neck,NY,11021,329 - Major Small & Large Bowel Procedures w MCC,96,57819.82,7538.47,6318.42
330225,Watertown General Hospital 225,Watertown,NY,13601,179 - Respiratory Infections & Inflammations w/o CC/MCC,45,18133.58,4279.54,3410.14
330028,Melville General Hospital 28,Melville,NY,11747,"394 - Esophagitis, Gastroenteritis & Misc Digest Disorders w/o CC/MCC",27,27223.85,6029.36,5217.81
330227,Auburn General Hospital 227,Auburn,NY,13021,329 - Major Small & Large Bowel Procedures w MCC,52,49780.78,17617.97,15197.45
330180,New Hyde Park General Hospital 180,New Hyde Park,NY,11040,194 - Simple Pneumonia & Pleurisy w MCC,64,41368.36,16000.24,12569.46
330037,Smithtown General Hospital 37,Smithtown,NY,11787,690 - Kidney & Urinary Tract Infections w/o MCC,19,47936.77,8619.28,6772.34
330286,Albany General Hospital 286,Albany,NY,12208,"280 - Acute Myocardial Infarction, Discharged Alive w MCC",32,35299.73,9860.02,8317.6
330259,Hicksville General Hospital 259,Hicksville,NY,11801,329 - Major Small & Large Bowel Procedures w MCC,57,56610.15,16450.94,14837.79
330228,Melville General Hospital 228,Melville,NY,11747,441 - Disorders of Pancreas Except Malignancy w/o CC/MCC,78,103225.69,41119.33,36160.03
330068,Melville General Hospital 68,Melville,NY,11747,390 - G.I. Obstruction w CC,76,92111.31,29399.75,24168.33
330253,New Rochelle General Hospital 253,New Rochelle,NY,10801,439 - Disorders of Pancreas Except Malignancy w MCC,63,105155.64,27236.65,22050.1
330206,Albany General Hospital 206,Albany,NY,12208,"393 - Esophagitis, Gastroenteritis & Misc Digest Disorders w CC",68,68519.45,13583.33,11851.99
330005,Staten Island General Hospital 5,Staten Island,NY,10314,640 - Nutritional & Misc Metabolic Disorders w MCC,20,108059.56,36940.83,32604.57
330235,Mineola General Hospital 235,Mineola,NY,11501,247 - Perc Cardiovasc Proc w Drug-Eluting Stent w MCC or 4+ Vessels/Stents,77,117300.57,34161.68,28992.44
330097,Riverhead General Hospital 97,Riverhead,NY,11901,439 - Disorders of Pancreas Except Malignancy w MCC,45,117892.5,31125.71,23478.11
330008,Rochester General Hospital 8,Rochester,NY,14607,379 - Gastrointestinal Hemorrhage w/o CC/MCC,1,49605.45,14188.65,11299.74
330042,Bronx General Hospital 42,Bronx,NY,10451,390 - G.I. Obstruction w CC,99,104206.49,35002.93,31714.29
330056,Newburgh General Hospital 56,Newburgh,NY,12550,603 - Cellulitis w/o MCC,1,33977.61,9438.88,8735.46
330142,Troy General Hospital 142,Troy,NY,12180,248 - Perc Cardiovasc Proc w Drug-Eluting Stent w/o MCC,78,105227.24,29809.38,25810.33
330040,Plainview General Hospital 40,Plainview,NY,11803,195 - Simple Pneumonia & Pleurisy w CC,53,32002.75,12384.53,10995.62
330143,Schenectady General Hospital 143,Schenectady,NY,12305,641 - Nutritional & Misc Metabolic Disorders w/o MCC,66,39204.95,12826.2,11075.28
330190,Flushing General Hospital 190,Flushing,NY,11354,"282 - Acute Myocardial Infarction, Discharged Alive w/o CC/MCC",77,48458.45,14207.02,11239.5
330249,Syracuse General Hospital 249,Syracuse,NY,13210,469 - Major Joint Replacement w MCC,80,112598.0,46126.43,39392.08
330011,White Plains General Hospital 11,White Plains,NY,10601,378 - Gastrointestinal Hemorrhage w CC,75,46903.42,13130.63,10340.1
330162,Bronx General Hospital 162,Bronx,NY,10451,292 - Heart Failure & Shock w CC,6,69137.84,25583.87,21189.01
